ID|Gender|Birth_TS|Is_Active|Dept|Title|Name|Phone|ID_Card|Reg_Fee
1|1|164073600|1|1|3|王建国|13800138001|110101197503151234|5000
2|0|396144000|1|1|2|李明芳|13800138002|110101198207221235|3000
3|1|26870400|1|2|3|张伟|13800138003|110101197011081236|6000
4|0|484704000|1|2|2|刘洋|13800138004|110101198505121237|3500
5|0|273456000|1|3|3|陈静|13800138005|110101197809011238|4000
6|1|635299200|1|3|1|赵强|13800138006|110101199002181239|2000
7|0|78710400|1|4|3|孙丽华|13800138007|110101197206301240|5500
8|0|597283200|1|4|2|周敏|13800138008|110101198812051241|3000
9|1|325036800|1|5|2|吴明|13800138009|110101198004201242|3500
10|0|713836800|1|5|1|郑小红|13800138010|110101199208151243|2000
11|1|190080000|1|6|3|黄磊|13800138011|110101197601101244|4500
12|0|606787200|1|6|2|林婷婷|13800138012|110101198903251245|3000
13|1|434160000|1|7|2|何志远|13800138013|110101198310051246|3000
14|0|679795200|1|7|1|马晓燕|13800138014|110101199107181247|2000
15|1|125884800|1|8|3|高峰|13800138015|110101197312281248|5000
16|0|513302400|1|8|2|杨雪|13800138016|110101198604081249|3500
17|1|303436800|1|9|2|徐大伟|13800138017|110101197908141250|3000
18|0|752198400|1|9|1|唐小芳|13800138018|110101199311021251|2000
19|1|231984000|1|10|2|沈国平|13800138019|110101197705091252|2500
20|0|464140800|1|10|2|顾美琴|13800138020|110101198409161253|2500
21|1|131241600|1|11|3|钱进|13800138021|110101197402281254|0
22|0|550368000|1|11|2|韩冰|13800138022|110101198706111255|0
